team,pos,id,tour,prizepool,place,prizeusd,start,startglicko2mu,startglicko2phi,startglicko2rating,end,endglicko2mu,endglicko2phi,endglicko2rating
cdecgaming,5,q,Pro Gamer League 2016 (PGL 2016) - Summer,100000,2,"30,000 ",23/07/2016,1790.824919591737,39.138321744713906,1692.9791152299522,24/07/2016,1790.824919591737,40.50184917618953,1689.570296651263
teambraveheart,1,lulu,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1639.9974240136398,45.05770401355165,1527.3531639797607,24/07/2016,1639.9974240136398,46.252257556539234,1524.3667801222919
teambraveheart,2,piao,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1639.9974240136398,45.05770401355165,1527.3531639797607,24/07/2016,1639.9974240136398,46.252257556539234,1524.3667801222919
teambraveheart,3,red,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1639.9974240136398,45.05770401355165,1527.3531639797607,24/07/2016,1639.9974240136398,46.252257556539234,1524.3667801222919
teambraveheart,4,小郭嘉,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1639.9974240136398,45.05770401355165,1527.3531639797607,24/07/2016,1639.9974240136398,46.252257556539234,1524.3667801222919
teambraveheart,5,laoa,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1639.9974240136398,45.05770401355165,1527.3531639797607,24/07/2016,1639.9974240136398,46.252257556539234,1524.3667801222919
igvitality,1,paparazi,Pro Gamer League 2016 (PGL 2016) - Summer,100000,3,"20,000 ",23/07/2016,1821.0013282611176,38.16644515739663,1725.585215367626,24/07/2016,1821.0013282611176,39.5822719287008,1722.0456484393656
igvitality,2,fran,Pro Gamer League 2016 (PGL 2016) - Summer,100000,3,"20,000 ",23/07/2016,1821.0013282611176,38.16644515739663,1725.585215367626,24/07/2016,1821.0013282611176,39.5822719287008,1722.0456484393656
igvitality,3,injuly,Pro Gamer League 2016 (PGL 2016) - Summer,100000,3,"20,000 ",23/07/2016,1821.0013282611176,38.16644515739663,1725.585215367626,24/07/2016,1821.0013282611176,39.5822719287008,1722.0456484393656
igvitality,4,dogf1ghts,Pro Gamer League 2016 (PGL 2016) - Summer,100000,3,"20,000 ",23/07/2016,1821.0013282611176,38.16644515739663,1725.585215367626,24/07/2016,1821.0013282611176,39.5822719287008,1722.0456484393656
igvitality,5,super haslink,Pro Gamer League 2016 (PGL 2016) - Summer,100000,3,"20,000 ",23/07/2016,1821.0013282611176,38.16644515739663,1725.585215367626,24/07/2016,1821.0013282611176,39.5822719287008,1722.0456484393656
ehomek,1,影,Pro Gamer League 2016 (PGL 2016) - Summer,100000,4,0 ,23/07/2016,,,,24/07/2016,,,
ehomek,2,86wasfrombheart,Pro Gamer League 2016 (PGL 2016) - Summer,100000,4,0 ,23/07/2016,,,,24/07/2016,,,
