,lq,dat
135,sgrejects,sgrejects
136,sgesports,sgesports
137,sqreenssquad,sqreenssquadv20
138,stark,starkgg
139,stars,newstars
140,sacred,sacred
141,scaryfacez,scaryfacezzz
142,sectorv,sectorv
143,shazam,shazam
144,spartakesports,spartakesports
145,steakgaming,steakgaming
146,stormgamesclan,stormgamesclan
147,sungaming,sungaming
148,superstrongdinosaurs,superstrongdinosaurs
149,tshow,tshow
150,tncproteam,tncproteam
151,tacolife,tacolife
152,taring,taringmy
153,teamarchon,teamarchon
154,teambadenglish,teambadenglish
155,teamdignitas,teamdignitas
156,teamdilecom,teamdilecom
157,teamempire,teamempire
158,teamfaceless,faceless
159,teamfantuan,teamfantuan
160,teamfreedom,teamfreedom
161,teamimpervious,teamimpervious
162,teamkinguin,teamkinguin
163,teamleviathan,teamleviathan
164,teamlife,life
165,teamliquid,teamliquid
166,teammax,teammax
167,teammalaysia,teammalaysia
168,teamnp,teamnp
169,teamonyx,teamonyx
170,teamrandom,teamrandom
171,teamred,teamred
172,teamsatuduatiga,teamsatuduatiga
173,teamsecret,teamsecret
174,teamsingularity,teamsingularity
175,teamspirit,teamspirit
176,themongolz,themongolz
177,thunderawaken,thunderawaken
178,thunderobotgaming,thunderobotgaming
179,titan,titan
180,tobeornottobe,tobeornottobe
181,tongfu,tongfu
182,tongfuna,tongfu
183,tongfuwanzhou,tongfuwanzhou
184,tuho,tuho
185,turtlemasters,turtlemasters
186,underminer,teamunderminer
187,uniongaming,uniongaming
188,uniongamingbo,uniongaming
189,unknownxiu,unknown
190,vduobao,teamvduobao
191,vgjstorm,vgjstorm
192,vgjthunder,vgjthunder
193,vegasquadron,vegasquadron
194,vicigaming,vicigaming
195,vicigamingpotential,vicigamingpotential
196,virtuspro,virtuspro
197,voidboys,voidboys
198,vultur,vultur
199,wanted,wanted
200,warriorsgamingunity,warriorsgamingunity
201,warriorsgamingyouth,warriorsgamingyouth
202,weareyoung,weareyoung
203,wheelwhreckwhilewhistling,wheelwhreckwhilewhistling
204,whitefriesgaming,whitefriesgaming
205,wingsgaming,thewingsgaming
206,wingsred,wingsred
207,xgamekz,xgamekz
208,yellowsubmarine,yellowsubmarine
209,zephyr,zephyrdota
210,zerorespect,zerorespect
211,3dmax,3dmax
212,cisgame,cisgame
213,counterlogicgaming,counterlogicgaming
214,denialesports,denialesports
215,forlove,forlove
216,ftdcluba,ftdcluba
217,lvgaming,lvgaming
218,midasclubelite,midasclub
219,moscowfive,moscowfive
220,quanticgaming,quanticgaming
221,sigmaint,sigmaint
222,sneakynyxassassins,sneakynyxassassins
223,teamdk,teamdk
224,teamvgj,teamvgj
225,teamzenith,zenith
