team,pos,id,tour,prizeusd,start,startelo,end,endelo
lgdgaming,4,ddc,G-1 Champions League Season 5,65156,16/03/2013,1002.8472887721032,26/05/2013,1268.9903647277242
lgdgaming,5,longdd,G-1 Champions League Season 5,65156,16/03/2013,1002.8472887721032,26/05/2013,1268.9903647277242
teamdk,1,burning,G-1 Champions League Season 5,65156,16/03/2013,,26/05/2013,
teamdk,2,super,G-1 Champions League Season 5,65156,16/03/2013,,26/05/2013,
teamdk,3,rotk,G-1 Champions League Season 5,65156,16/03/2013,,26/05/2013,
teamdk,4,qqq,G-1 Champions League Season 5,65156,16/03/2013,,26/05/2013,
teamdk,5,mmy,G-1 Champions League Season 5,65156,16/03/2013,,26/05/2013,
alliance,1,loda,G-1 Champions League Season 5,65156,16/03/2013,1393.4420750135341,26/05/2013,1422.2273280814209
alliance,2,s4,G-1 Champions League Season 5,65156,16/03/2013,1393.4420750135341,26/05/2013,1422.2273280814209
alliance,3,admiralbulldog,G-1 Champions League Season 5,65156,16/03/2013,1393.4420750135341,26/05/2013,1422.2273280814209
alliance,4,akke,G-1 Champions League Season 5,65156,16/03/2013,1393.4420750135341,26/05/2013,1422.2273280814209
alliance,5,egm,G-1 Champions League Season 5,65156,16/03/2013,1393.4420750135341,26/05/2013,1422.2273280814209
teamliquid,1,korok,G-1 Champions League Season 5,65156,16/03/2013,1254.7862178530806,26/05/2013,1140.3758619036164
teamliquid,2,tc,G-1 Champions League Season 5,65156,16/03/2013,1254.7862178530806,26/05/2013,1140.3758619036164
teamliquid,3,bulba,G-1 Champions League Season 5,65156,16/03/2013,1254.7862178530806,26/05/2013,1140.3758619036164
teamliquid,4,fluffnstuff,G-1 Champions League Season 5,65156,16/03/2013,1254.7862178530806,26/05/2013,1140.3758619036164
teamliquid,5,ixmike88,G-1 Champions League Season 5,65156,16/03/2013,1254.7862178530806,26/05/2013,1140.3758619036164
alliance,1,loda,RaidCall EMS One Spring Season,35000,18/03/2013,1388.0647977917329,21/04/2013,1201.3504838264557
alliance,2,s4,RaidCall EMS One Spring Season,35000,18/03/2013,1388.0647977917329,21/04/2013,1201.3504838264557
alliance,3,admiralbulldog,RaidCall EMS One Spring Season,35000,18/03/2013,1388.0647977917329,21/04/2013,1201.3504838264557
alliance,4,akke,RaidCall EMS One Spring Season,35000,18/03/2013,1388.0647977917329,21/04/2013,1201.3504838264557
alliance,5,egm,RaidCall EMS One Spring Season,35000,18/03/2013,1388.0647977917329,21/04/2013,1201.3504838264557
natusvincere,1,xboct,RaidCall EMS One Spring Season,35000,18/03/2013,1124.4266336724295,21/04/2013,1285.2529612318779
natusvincere,2,dendi,RaidCall EMS One Spring Season,35000,18/03/2013,1124.4266336724295,21/04/2013,1285.2529612318779
natusvincere,3,funn1k,RaidCall EMS One Spring Season,35000,18/03/2013,1124.4266336724295,21/04/2013,1285.2529612318779
natusvincere,4,puppey,RaidCall EMS One Spring Season,35000,18/03/2013,1124.4266336724295,21/04/2013,1285.2529612318779
natusvincere,5,kuroky,RaidCall EMS One Spring Season,35000,18/03/2013,1124.4266336724295,21/04/2013,1285.2529612318779
virtuspro,1,illidan,RaidCall EMS One Spring Season,35000,18/03/2013,1208.0497103464008,21/04/2013,1102.9828703191797
virtuspro,2,crazy,RaidCall EMS One Spring Season,35000,18/03/2013,1208.0497103464008,21/04/2013,1102.9828703191797
virtuspro,3,ksi,RaidCall EMS One Spring Season,35000,18/03/2013,1208.0497103464008,21/04/2013,1102.9828703191797
virtuspro,4,santa,RaidCall EMS One Spring Season,35000,18/03/2013,1208.0497103464008,21/04/2013,1102.9828703191797
virtuspro,5,ns,RaidCall EMS One Spring Season,35000,18/03/2013,1208.0497103464008,21/04/2013,1102.9828703191797
fnaticeu,1,era,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
fnaticeu,2,h4nn1,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
fnaticeu,3,trixi,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
fnaticeu,4,n0tail,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
fnaticeu,5,fly,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
teamempire,1,blowyourbrain,RaidCall EMS One Spring Season,35000,18/03/2013,1184.7111220426323,21/04/2013,956.0217556130636
teamempire,2,vigoss,RaidCall EMS One Spring Season,35000,18/03/2013,1184.7111220426323,21/04/2013,956.0217556130636
teamempire,3,scandal,RaidCall EMS One Spring Season,35000,18/03/2013,1184.7111220426323,21/04/2013,956.0217556130636
teamempire,4,goblak,RaidCall EMS One Spring Season,35000,18/03/2013,1184.7111220426323,21/04/2013,956.0217556130636
teamempire,5,silent,RaidCall EMS One Spring Season,35000,18/03/2013,1184.7111220426323,21/04/2013,956.0217556130636
kaipi,1,eternalenvy,RaidCall EMS One Spring Season,35000,18/03/2013,918.9083482234796,21/04/2013,1133.5710279183213
kaipi,2,arise,RaidCall EMS One Spring Season,35000,18/03/2013,918.9083482234796,21/04/2013,1133.5710279183213
kaipi,3,bone7,RaidCall EMS One Spring Season,35000,18/03/2013,918.9083482234796,21/04/2013,1133.5710279183213
kaipi,4,zizou,RaidCall EMS One Spring Season,35000,18/03/2013,918.9083482234796,21/04/2013,1133.5710279183213
kaipi,5,pieliedie,RaidCall EMS One Spring Season,35000,18/03/2013,918.9083482234796,21/04/2013,1133.5710279183213
dd,1,paris,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
dd,2,funzii,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
dd,3,blr,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
dd,4,7ckngmad,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
dd,5,comewithme,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
mousesports,1,black,RaidCall EMS One Spring Season,35000,18/03/2013,1181.5734585822674,21/04/2013,1174.6476301593748
mousesports,2,fata,RaidCall EMS One Spring Season,35000,18/03/2013,1181.5734585822674,21/04/2013,1174.6476301593748
mousesports,3,qojqva,RaidCall EMS One Spring Season,35000,18/03/2013,1181.5734585822674,21/04/2013,1174.6476301593748
mousesports,4,pas,RaidCall EMS One Spring Season,35000,18/03/2013,1181.5734585822674,21/04/2013,1174.6476301593748
mousesports,5,alex,RaidCall EMS One Spring Season,35000,18/03/2013,1181.5734585822674,21/04/2013,1174.6476301593748
rox,1,bzzisperfect,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
rox,2,solo,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
rox,3,dread,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
rox,4,yol,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
rox,5,vanskor,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
absolutelegends,1,unicornxoxo,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
absolutelegends,2,miggel,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
absolutelegends,3,mania,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
absolutelegends,4,mirakel,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
absolutelegends,5,ryze,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
ratinthedark,1,sifla,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
ratinthedark,2,buugi,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
ratinthedark,3,spin,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
ratinthedark,4,lapiz,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
ratinthedark,5,fetaa,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
tcmgaming,1,quix,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
tcmgaming,2,chw,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
tcmgaming,3,werne,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
tcmgaming,4,goaudio,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
tcmgaming,5,blueberryninja,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
teamliquid,1,tc,RaidCall EMS One Spring Season,35000,18/03/2013,1199.6414379061105,21/04/2013,1218.3287320897973
teamliquid,2,korok,RaidCall EMS One Spring Season,35000,18/03/2013,1199.6414379061105,21/04/2013,1218.3287320897973
teamliquid,3,bulba,RaidCall EMS One Spring Season,35000,18/03/2013,1199.6414379061105,21/04/2013,1218.3287320897973
teamliquid,4,fluffnstuff,RaidCall EMS One Spring Season,35000,18/03/2013,1199.6414379061105,21/04/2013,1218.3287320897973
teamliquid,5,ixmike88,RaidCall EMS One Spring Season,35000,18/03/2013,1199.6414379061105,21/04/2013,1218.3287320897973
fnaticna,1,smurf,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
fnaticna,2,mss,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
fnaticna,3,hannah_montana,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
fnaticna,4,jubei,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
fnaticna,5,f4l,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
eosin4,1,eosin,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
eosin4,2,felogna,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
eosin4,3,guanzo,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
eosin4,4,harodihg,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
eosin4,5,lust,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
infinitygaming,1,bign,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
infinitygaming,2,phuze,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
infinitygaming,3,ilifan,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
infinitygaming,4,bert,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
infinitygaming,5,iduzanmata,RaidCall EMS One Spring Season,35000,18/03/2013,,21/04/2013,
mousesports,1,black,Ritmix Russian DOTA 2 League,6000,20/03/2013,1120.1169447772988,31/03/2013,1078.299842261991
mousesports,2,fata,Ritmix Russian DOTA 2 League,6000,20/03/2013,1120.1169447772988,31/03/2013,1078.299842261991
mousesports,3,qojqva,Ritmix Russian DOTA 2 League,6000,20/03/2013,1120.1169447772988,31/03/2013,1078.299842261991
mousesports,4,pas,Ritmix Russian DOTA 2 League,6000,20/03/2013,1120.1169447772988,31/03/2013,1078.299842261991
mousesports,5,alex,Ritmix Russian DOTA 2 League,6000,20/03/2013,1120.1169447772988,31/03/2013,1078.299842261991
virtuspro,1,illidan,Ritmix Russian DOTA 2 League,6000,20/03/2013,1264.015932850847,31/03/2013,1221.9743390821193
virtuspro,2,crazy,Ritmix Russian DOTA 2 League,6000,20/03/2013,1264.015932850847,31/03/2013,1221.9743390821193
virtuspro,3,ksi,Ritmix Russian DOTA 2 League,6000,20/03/2013,1264.015932850847,31/03/2013,1221.9743390821193
virtuspro,4,arsart,Ritmix Russian DOTA 2 League,6000,20/03/2013,1264.015932850847,31/03/2013,1221.9743390821193
virtuspro,5,ns,Ritmix Russian DOTA 2 League,6000,20/03/2013,1264.015932850847,31/03/2013,1221.9743390821193
fnaticeu,1,era,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
fnaticeu,2,h4nn1,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
fnaticeu,3,trixi,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
fnaticeu,4,n0tail,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
fnaticeu,5,fly,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
rox,1,bzzisperfect,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
rox,2,solo,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
rox,3,dread,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
rox,4,yol,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
rox,5,vanskor,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
teamempire,1,blowyourbrain,Ritmix Russian DOTA 2 League,6000,20/03/2013,1263.007333430786,31/03/2013,1077.1217310164704
teamempire,2,vigoss,Ritmix Russian DOTA 2 League,6000,20/03/2013,1263.007333430786,31/03/2013,1077.1217310164704
teamempire,3,scandal,Ritmix Russian DOTA 2 League,6000,20/03/2013,1263.007333430786,31/03/2013,1077.1217310164704
teamempire,4,goblak,Ritmix Russian DOTA 2 League,6000,20/03/2013,1263.007333430786,31/03/2013,1077.1217310164704
teamempire,5,silent,Ritmix Russian DOTA 2 League,6000,20/03/2013,1263.007333430786,31/03/2013,1077.1217310164704
teamliquid,1,tc,Ritmix Russian DOTA 2 League,6000,20/03/2013,1105.9600808023204,31/03/2013,1149.4616905662142
teamliquid,2,korok,Ritmix Russian DOTA 2 League,6000,20/03/2013,1105.9600808023204,31/03/2013,1149.4616905662142
teamliquid,3,bulba,Ritmix Russian DOTA 2 League,6000,20/03/2013,1105.9600808023204,31/03/2013,1149.4616905662142
teamliquid,4,fluffnstuff,Ritmix Russian DOTA 2 League,6000,20/03/2013,1105.9600808023204,31/03/2013,1149.4616905662142
teamliquid,5,ixmike88,Ritmix Russian DOTA 2 League,6000,20/03/2013,1105.9600808023204,31/03/2013,1149.4616905662142
notidehunter,1,loda,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
notidehunter,2,s4,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
notidehunter,3,admiralbulldog,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
notidehunter,4,egm,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
notidehunter,5,akke,Ritmix Russian DOTA 2 League,6000,20/03/2013,,31/03/2013,
teamdignitas,1,aui_2000,Ritmix Russian DOTA 2 League,6000,20/03/2013,1129.668294388118,31/03/2013,1256.1572602537703
teamdignitas,2,sneyking,Ritmix Russian DOTA 2 League,6000,20/03/2013,1129.668294388118,31/03/2013,1256.1572602537703
teamdignitas,3,universe,Ritmix Russian DOTA 2 League,6000,20/03/2013,1129.668294388118,31/03/2013,1256.1572602537703
teamdignitas,4,waytosexy,Ritmix Russian DOTA 2 League,6000,20/03/2013,1129.668294388118,31/03/2013,1256.1572602537703
teamdignitas,5,fogged,Ritmix Russian DOTA 2 League,6000,20/03/2013,1129.668294388118,31/03/2013,1256.1572602537703
natusvincere,1,xboct,Techlabs Cup 2013 Season 1,10000,23/03/2013,1172.227723258333,23/03/2013,1172.227723258333
natusvincere,2,dendi,Techlabs Cup 2013 Season 1,10000,23/03/2013,1172.227723258333,23/03/2013,1172.227723258333
natusvincere,3,funn1k,Techlabs Cup 2013 Season 1,10000,23/03/2013,1172.227723258333,23/03/2013,1172.227723258333
natusvincere,4,kuroky,Techlabs Cup 2013 Season 1,10000,23/03/2013,1172.227723258333,23/03/2013,1172.227723258333
natusvincere,5,puppey,Techlabs Cup 2013 Season 1,10000,23/03/2013,1172.227723258333,23/03/2013,1172.227723258333
virtuspro,1,illidan,Techlabs Cup 2013 Season 1,10000,23/03/2013,1122.946591173289,23/03/2013,1122.946591173289
virtuspro,2,crazy,Techlabs Cup 2013 Season 1,10000,23/03/2013,1122.946591173289,23/03/2013,1122.946591173289
virtuspro,3,ksi,Techlabs Cup 2013 Season 1,10000,23/03/2013,1122.946591173289,23/03/2013,1122.946591173289
virtuspro,4,ns,Techlabs Cup 2013 Season 1,10000,23/03/2013,1122.946591173289,23/03/2013,1122.946591173289
virtuspro,5,arsart,Techlabs Cup 2013 Season 1,10000,23/03/2013,1122.946591173289,23/03/2013,1122.946591173289
teamempire,1,blowyourbrain,Techlabs Cup 2013 Season 1,10000,23/03/2013,1168.3876776035988,23/03/2013,1168.3876776035988
teamempire,2,vigoss,Techlabs Cup 2013 Season 1,10000,23/03/2013,1168.3876776035988,23/03/2013,1168.3876776035988
teamempire,3,scandal,Techlabs Cup 2013 Season 1,10000,23/03/2013,1168.3876776035988,23/03/2013,1168.3876776035988
teamempire,4,goblak,Techlabs Cup 2013 Season 1,10000,23/03/2013,1168.3876776035988,23/03/2013,1168.3876776035988
teamempire,5,silent,Techlabs Cup 2013 Season 1,10000,23/03/2013,1168.3876776035988,23/03/2013,1168.3876776035988
iccup,1,jackal,Techlabs Cup 2013 Season 1,10000,23/03/2013,,23/03/2013,
iccup,2,resolut1on,Techlabs Cup 2013 Season 1,10000,23/03/2013,,23/03/2013,
iccup,3,mag,Techlabs Cup 2013 Season 1,10000,23/03/2013,,23/03/2013,
iccup,4,alwayswannafly,Techlabs Cup 2013 Season 1,10000,23/03/2013,,23/03/2013,
iccup,5,wejustzik,Techlabs Cup 2013 Season 1,10000,23/03/2013,,23/03/2013,
evilgeniuses,1,jeyo,Curse Dota 2 Invitational,10000,04/05/2013,1236.8355214324322,19/05/2013,1097.0079445661113
evilgeniuses,2,demon,Curse Dota 2 Invitational,10000,04/05/2013,1236.8355214324322,19/05/2013,1097.0079445661113
evilgeniuses,3,sexybamboe,Curse Dota 2 Invitational,10000,04/05/2013,1236.8355214324322,19/05/2013,1097.0079445661113
evilgeniuses,4,fear,Curse Dota 2 Invitational,10000,04/05/2013,1236.8355214324322,19/05/2013,1097.0079445661113
evilgeniuses,5,bdiz,Curse Dota 2 Invitational,10000,04/05/2013,1236.8355214324322,19/05/2013,1097.0079445661113
